DoctorID,RoomID,DayID
26,1,1
1,2,1
16,3,1
7,4,1
12,5,1
13,6,1
28,7,1
24,8,1
4,9,1
10,10,1
11,1,2
6,2,2
21,3,2
27,4,2
17,5,2
18,6,2
8,7,2
9,8,2
19,9,2
25,10,2
21,1,3
1,2,3
16,3,3
22,4,3
2,5,3
23,6,3
3,7,3
14,8,3
29,9,3
15,10,3
26,1,4
6,2,4
11,3,4
7,4,4
27,5,4
13,6,4
28,7,4
24,8,4
19,9,4
20,10,4
11,1,5
21,2,5
16,3,5
12,4,5
2,5,5
23,6,5
18,7,5
29,8,5
4,9,5
30,10,5
1,1,6
26,2,6
6,3,6
17,4,6
27,5,6
8,6,6
28,7,6
9,8,6
14,9,6
5,10,6
11,1,7
16,2,7
6,3,7
7,4,7
2,5,7
13,6,7
3,7,7
24,8,7
29,9,7
10,10,7
26,1,8
21,2,8
1,3,8
12,4,8
22,5,8
18,6,8
8,7,8
4,8,8
14,9,8
25,10,8
26,1,9
11,2,9
21,3,9
27,4,9
17,5,9
23,6,9
3,7,9
9,8,9
19,9,9
15,10,9
16,1,10
6,2,10
1,3,10
2,4,10
7,5,10
28,6,10
8,7,10
4,8,10
29,9,10
20,10,10
26,1,11
21,2,11
11,3,11
22,4,11
17,5,11
3,6,11
23,7,11
24,8,11
9,9,11
5,10,11
21,1,12
16,2,12
1,3,12
27,4,12
12,5,12
13,6,12
28,7,12
14,8,12
19,9,12
25,10,12
11,1,13
6,2,13
16,3,13
17,4,13
22,5,13
8,6,13
18,7,13
29,8,13
4,9,13
30,10,13
6,1,14
26,2,14
11,3,14
2,4,14
7,5,14
13,6,14
28,7,14
14,8,14
9,9,14
10,10,14
16,1,15
21,2,15
1,3,15
12,4,15
27,5,15
23,6,15
3,7,15
19,8,15
24,9,15
20,10,15
11,1,16
1,2,16
21,3,16
7,4,16
17,5,16
8,6,16
18,7,16
4,8,16
9,9,16
5,10,16
16,1,17
6,2,17
26,3,17
2,4,17
22,5,17
13,6,17
28,7,17
14,8,17
19,9,17
15,10,17
21,1,18
11,2,18
26,3,18
7,4,18
27,5,18
23,6,18
8,7,18
29,8,18
24,9,18
25,10,18
6,1,19
1,2,19
16,3,19
17,4,19
22,5,19
3,6,19
18,7,19
9,8,19
4,9,19
10,10,19
11,1,20
21,2,20
26,3,20
27,4,20
12,5,20
13,6,20
28,7,20
24,8,20
29,9,20
30,10,20
16,1,21
6,2,21
1,3,21
22,4,21
2,5,21
18,6,21
23,7,21
4,8,21
14,9,21
15,10,21
16,1,22
21,2,22
11,3,22
12,4,22
17,5,22
28,6,22
8,7,22
19,8,22
29,9,22
5,10,22
26,1,23
6,2,23
11,3,23
7,4,23
27,5,23
23,6,23
3,7,23
9,8,23
4,9,23
30,10,23
6,1,24
1,2,24
26,3,24
2,4,24
12,5,24
13,6,24
18,7,24
14,8,24
24,9,24
20,10,24
21,1,25
1,2,25
16,3,25
22,4,25
7,5,25
28,6,25
3,7,25
19,8,25
9,9,25
25,10,25
6,1,26
26,2,26
11,3,26
27,4,26
17,5,26
13,6,26
8,7,26
29,8,26
14,9,26
15,10,26
21,1,27
1,2,27
11,3,27
7,4,27
2,5,27
18,6,27
23,7,27
4,8,27
24,9,27
10,10,27
26,1,28
6,2,28
16,3,28
22,4,28
12,5,28
28,6,28
3,7,28
19,8,28
9,9,28
30,10,28
